add-yield-none,4,1000,8000,508000,63,17
add-yield-none,4,10000,80000,4531000,56,393
add-yield-none,4,100000,800000,40151000,50,-624
add-yield-none,8,10,160,264000,1650,0
add-yield-none,8,20,320,273000,853,9
add-yield-none,8,40,640,425000,664,15
add-yield-none,8,80,1280,1270000,992,-32
add-yield-none,8,100,1600,1610000,1006,3
add-yield-none,8,1000,16000,10512000,657,-152
add-yield-none,8,10000,160000,67122000,419,-35
add-yield-none,8,100000,1600000,619542000,387,-3788
add-yield-none,12,10,240,394000,1641,5
add-yield-none,12,20,480,466000,970,-10
add-yield-none,12,40,960,1130000,1177,10
add-yield-none,12,80,1920,2343000,1220,17
add-yield-none,12,100,2400,2627000,1094,3
add-yield-none,12,1000,24000,25656000,1069,-1
add-yield-none,12,10000,240000,267135000,1113,-336
add-yield-none,12,100000,2400000,3194982000,1331,-1677
add-yield-none,2,10,40,163000,4075,0
add-yield-m,2,10,40,494000,12350,0
add-yield-c,2,10,40,202000,5050,0
add-yield-none,2,100,400,227000,567,-73
add-yield-m,2,100,400,2349000,5872,0
add-yield-c,2,100,400,262000,655,0
add-yield-none,2,1000,4000,499000,124,12
add-yield-m,2,1000,4000,13969000,3492,0
add-yield-c,2,1000,4000,825000,206,0
add-yield-none,2,10000,40000,3603000,90,0
add-yield-m,2,10000,40000,131557000,3288,0
add-yield-c,2,10000,40000,7322000,183,0
add-yield-s,2,10,40,117000,2925,0
add-yield-s,2,100,400,181000,452,0
add-yield-s,2,1000,4000,907000,226,0
add-yield-none,4,10,80,146000,1825,0
add-yield-m,4,10,80,439000,5487,0
add-yield-c,4,10,80,140000,1750,0
add-yield-none,4,100,800,173000,216,-94
add-yield-m,4,100,800,3271000,4088,0
add-yield-c,4,100,800,434000,542,0
add-yield-none,4,1000,8000,483000,60,0
add-yield-m,4,1000,8000,32016000,4002,0
add-yield-c,4,1000,8000,4626000,578,0
add-yield-none,4,10000,80000,7509000,93,-4009
add-yield-m,4,10000,80000,308086000,3851,0
add-yield-c,4,10000,80000,17443000,218,0
add-yield-s,4,10,80,174000,2175,0
add-yield-s,4,100,800,447000,558,0
add-yield-s,4,1000,8000,3179000,397,0
add-yield-none,8,10,160,236000,1475,-5
add-yield-m,8,10,160,802000,5012,0
add-yield-c,8,10,160,296000,1850,0
add-yield-none,8,100,1600,1166000,728,-29
add-yield-m,8,100,1600,7154000,4471,0
add-yield-c,8,100,1600,1385000,865,0
add-yield-none,8,1000,16000,6531000,408,-235
add-yield-m,8,1000,16000,63248000,3953,0
add-yield-c,8,1000,16000,12127000,757,0
add-yield-none,8,10000,160000,65313000,408,-279
add-yield-m,8,10000,160000,617691000,3860,0
add-yield-c,8,10000,160000,131948000,824,0
add-yield-s,8,10,160,354000,2212,0
add-yield-s,8,100,1600,1164000,727,0
add-yield-s,8,1000,16000,8234000,514,0
add-yield-none,12,10,240,347000,1445,-1
add-yield-m,12,10,240,1927000,8029,0
add-yield-c,12,10,240,417000,1737,0
add-yield-none,12,100,2400,676000,281,-190
add-yield-m,12,100,2400,10078000,4199,0
add-yield-c,12,100,2400,8092000,3371,0
add-yield-none,12,1000,24000,26492000,1103,-168
add-yield-m,12,1000,24000,92549000,3856,0
add-yield-c,12,1000,24000,107599000,4483,0
add-yield-none,12,10000,240000,259892000,1082,-127
add-yield-m,12,10000,240000,984276000,4101,0
add-yield-c,12,10000,240000,1416508000,5902,0
add-yield-s,12,10,240,2140486000,8918691,0
add-yield-s,12,100,2400,23334181000,9722575,0
add-yield-s,12,1000,24000,236085528000,9836897,0
add-none,1,10000,20000,312000,15,0
add-m,1,10000,20000,612000,30,0
add-s,1,10000,20000,282000,14,0
add-c,1,10000,20000,349000,17,0
add-none,2,10000,40000,638000,15,-6698
add-m,2,10000,40000,127167000,3179,0
add-s,2,10000,40000,2299000,57,0
add-c,2,10000,40000,2222000,55,0
add-none,4,10000,80000,1245000,15,-848
add-m,4,10000,80000,289746000,3621,0
add-s,4,10000,80000,15577000,194,0
add-c,4,10000,80000,8281000,103,0
add-none,8,10000,160000,2477000,15,-2197
add-m,8,10000,160000,590035000,3687,0
add-s,8,10000,160000,45786000,286,0
add-c,8,10000,160000,23473000,146,0
add-none,12,10000,240000,3933000,16,-5271
add-m,12,10000,240000,883597000,3681,0
add-s,12,10000,240000,64806000,270,0
add-c,12,10000,240000,33863000,141,0
